node_id	pos_x	pos_y
1	18.6438	6.97448
2	16.2253	24.8568
3	4.33697	30.3091
4	15.494	0.160384
5	37.178	10.6025
6	25.8185	13.4018
7	1.64303	18.7045
8	28.207	4.36791
9	16.047	2.92692
10	16.4916	29.3121
11	20.9218	34.3151
12	33.2606	13.3413
13	25.8919	10.5034
14	19.7601	30.5482
15	1.05552	19.8531
16	20.3201	19.6993
17	26.8276	36.5454
18	4.55613	31.1645
19	26.8544	20.0502
20	31.3249	24.0324
21	30.6527	17.1434
22	37.4343	32.2957
23	35.8479	25.6413
24	36.6636	11.8949
25	28.5683	13.1552
26	1.20704	9.49004
27	7.47024	34.4676
28	22.8313	33.3621
29	4.97107	2.59145
30	23.9103	6.02659
31	22.4445	4.23036
32	25.7259	9.27211
33	0.775732	30.282
34	0.43665	27.6302
35	10.3322	31.7616
36	11.6626	0.984824
37	8.90497	9.0969
38	33.2805	4.75287
39	34.7382	29.9441
40	16.6478	23.3065
41	3.09927	17.8549
42	32.7965	10.5695
43	12.3225	15.6278
44	3.93163	17.2936
45	18.2193	27.8419
46	23.3202	0.663826
47	32.0723	9.04603
48	9.93594	32.848
49	39.328	10.3726
50	20.4782	9.66018
51	2.13416	32.1408
52	10.645	11.0391
53	1.23769	3.92552
54	15.792	35.9759
55	33.8696	32.4398
56	19.2824	36.9689
57	10.2947	12.0789
58	7.53842	22.6172
59	27.7068	11.47
60	39.9107	5.92605
61	39.312	23.2309
62	6.58987	31.3843
63	32.2769	16.5258
64	24.2323	31.605
65	26.8984	4.71049
66	1.26513	29.0326
67	36.8513	11.9101
68	0.0716908	38.089
69	15.8357	15.8637
70	34.0649	9.70529
71	8.30351	13.3473
72	6.67419	18.5982
73	25.4262	14.2126
74	1.21537	13.133
75	25.6827	1.12611
76	19.059	24.9946
77	24.357	25.6489
78	16.3789	16.634
79	2.17472	0.61121
80	8.2389	29.0731
81	5.3217	9.50404
82	18.1057	2.17297
83	21.4142	18.1774
84	0.261942	37.2498
85	34.0411	34.3268
86	6.95512	2.34458
87	7.67412	13.6293
88	20.9428	33.1004
89	27.8419	22.1581
90	6.23334	13.5246
