node_id	pos_x	pos_y
1	15.8839	37.6196
2	20.2557	26.7474
3	12.5047	4.21788
4	32.5456	5.05378
5	0.994748	20.9014
6	5.03375	14.5277
7	34.0484	12.9105
8	29.8572	9.89792
9	14.7556	31.9601
10	34.1351	10.4943
11	33.1015	38.8102
12	29.6521	9.80593
13	39.55	33.8729
14	35.7448	28.5444
15	31.0339	3.53212
16	28.1462	6.91783
17	1.15173	8.40187
18	33.6653	13.6565
19	12.6197	26.2109
20	18.7102	13.6145
21	7.11228	23.744
22	28.1422	1.16066
23	36.6545	17.9994
24	11.0586	11.41
25	9.95949	5.19373
26	21.9044	3.06102
27	4.00389	11.5565
28	12.8669	3.55385
29	5.42935	8.61177
30	32.0982	36.4632
31	12.1439	20.2445
32	3.38107	13.2956
33	28.6463	37.0463
34	26.9521	1.26608
35	23.2573	5.66234
36	14.8806	30.3696
37	29.4063	3.02277
38	31.5302	26.0608
39	21.0222	2.5888
40	37.4708	30.9817
41	7.78253	19.3752
42	34.0427	11.7864
43	30.9316	6.90965
44	15.3403	36.361
45	15.5214	7.43852
46	32.8242	27.6653
47	27.683	36.2053
48	0.960944	16.3293
49	33.2517	27.913
50	17.5954	16.5089
51	33.5754	32.476
52	6.87848	22.9817
53	35.4987	38.4087
54	9.04251	16.5209
55	0.99749	6.51334
56	7.50261	8.78002
57	25.8885	1.54531
58	20.5664	16.8202
59	8.45497	35.9067
60	13.1812	23.9764
61	3.34523	6.00539
62	11.6417	31.0282
63	2.21069	12.6027
64	7.35751	35.4623
65	0.515692	24.9529
66	11.9713	34.0911
67	17.4289	18.8497
68	17.0728	12.9276
69	17.2584	26.1153
70	29.4485	18.2559
71	32.6286	36.9511
72	27.0359	18.5171
73	38.4964	7.60238
74	35.3373	6.95139
75	3.5091	8.51846
76	30.9278	6.85433
77	14.5238	2.5695
78	37.8825	16.7345
79	15.1722	5.24005
80	12.1969	15.6878
