node_id	pos_x	pos_y
1	5.63629	1.78819
2	16.8998	2.38682
3	11.4982	19.0218
4	19.044	10.8137
5	14.1597	38.9618
6	13.4116	39.9594
7	32.0748	10.4549
8	39.5854	17.8504
9	36.4119	14.4295
10	1.64319	35.7567
11	5.78377	32.9497
12	25.607	23.89
13	23.0839	17.8736
14	23.3519	12.8155
15	38.9791	6.13066
16	7.60129	4.61537
17	7.91885	24.5011
18	7.00219	19.4171
19	3.5229	26.0462
20	30.2308	17.6826
21	25.0079	3.64233
22	17.642	17.0828
23	14.0973	17.2274
24	34.9332	10.5092
25	31.6569	36.5764
26	6.26591	37.4407
27	29.5261	31.8729
28	21.3307	12.61
29	9.74655	4.68255
30	25.4256	8.72564
