node_id	pos_x	pos_y
1	15.297	21.8102
2	15.2243	16.8194
3	30.7988	2.05399
4	11.0933	2.23148
5	35.0744	16.7437
6	2.11891	28.7576
7	1.13274	38.0874
8	31.7056	20.5326
9	3.49816	17.3911
10	19.2159	4.6678
11	32.1846	32.6343
12	32.2223	25.1428
13	14.0723	18.8629
14	36.1528	32.3857
15	4.12122	34.6735
16	33.9814	19.4182
17	16.4836	9.20574
18	36.2376	7.28243
19	11.2597	7.33091
20	9.51391	6.33416
21	24.0746	11.6328
22	35.0917	25.2073
23	9.72017	26.7973
24	5.73998	13.2183
25	4.1884	24.9559
26	17.8861	36.373
27	17.5901	10.1085
28	21.5158	31.6624
29	28.9714	17.6686
30	24.0481	33.0926
31	12.342	18.0295
32	12.5108	28.8256
33	27.2353	8.74839
34	36.1081	38.495
35	16.0793	5.62199
36	4.82916	0.153913
37	17.2548	39.9209
38	25.3613	26.975
39	26.7182	31.1012
40	0.193294	30.9066
41	16.0571	18.0794
42	27.2796	33.6472
43	28.1879	8.79534
44	25.3097	17.1593
45	26.4639	9.35778
46	10.2519	38.806
47	27.3873	22.7627
48	27.6316	14.6226
49	31.5111	23.7397
50	13.1176	7.59039
51	29.3617	17.9468
52	7.7443	6.61647
53	17.8677	33.1056
54	33.5914	4.58588
55	24.2068	33.7847
56	35.4925	0.263905
57	11.8642	22.7721
58	33.9111	0.0520481
59	31.5674	19.2208
60	17.2113	18.0313
