node_id	pos_x	pos_y
1	11.9512	16.5169
2	34.169	8.78904
3	37.1139	33.7209
4	6.70601	24.1374
5	32.8626	22.9046
6	18.2356	23.9672
7	20.6476	37.2683
8	15.0113	36.7261
9	10.7303	11.6054
10	21.9694	39.7893
11	23.1289	10.978
12	10.9374	36.5442
13	22.2655	6.96676
14	12.0491	34.2137
15	26.9269	8.88545
16	7.59744	38.8781
17	25.4024	1.76646
18	7.66711	22.5163
19	35.4874	14.3731
20	6.65363	28.35
21	37.2778	24.8892
22	12.3172	17.9254
23	22.1575	27.3285
24	14.6515	32.8877
25	38.9339	36.6209
26	32.677	22.0628
27	7.59886	3.61435
28	18.6069	29.8643
29	10.5811	30.6561
30	24.0781	37.508
31	39.5415	31.6755
32	36.3861	24.9439
33	33.442	4.0532
34	7.46018	28.9293
35	18.4263	14.1138
36	17.2793	15.7041
37	39.003	29.5965
38	33.6294	21.1604
39	16.925	8.28094
40	14.0482	15.8589
41	4.9018	6.72516
42	37.9217	12.5007
43	10.3395	16.5286
44	2.36499	20.9206
45	7.18467	26.443
46	18.4286	6.72618
47	18.1185	14.8147
48	31.6701	11.5605
49	18.8679	39.1303
50	0.489829	37.2943
