node_id	pos_x	pos_y
1	36.1009	33.2468
2	4.86431	36.216
3	33.9889	5.90181
4	13.4312	7.60274
5	6.372	4.36428
6	27.6078	19.685
7	6.11771	27.3051
8	27.3188	38.2384
9	5.4713	5.75258
10	7.8208	35.6336
11	13.1446	3.50945
12	6.20901	33.4838
13	3.26978	27.7748
14	34.2224	22.6216
15	36.5424	31.1242
16	19.8588	32.6433
17	24.371	24.7231
18	28.8593	18.3599
19	30.6249	2.29052
20	25.9626	36.9969
21	6.65479	13.5705
22	16.682	12.7725
23	0.875583	4.00077
24	11.0109	6.34688
25	9.75336	18.8317
26	1.9805	22.898
27	22.3412	8.18952
28	16.3818	25.611
29	35.9643	10.6042
30	8.2326	32.5067
31	1.72835	28.0914
32	25.15	26.0993
33	12.8145	14.0093
34	4.45921	3.43945
35	16.2999	30.4218
36	0.436369	22.9547
37	3.99229	17.1183
38	35.7272	4.86788
39	21.1191	6.73809
40	11.2148	30.8725
41	25.5698	13.1953
42	13.7704	7.91099
43	21.3848	30.1522
44	33.522	17.3491
45	0.756346	1.75456
46	9.85577	2.4847
47	29.846	35.0058
48	28.584	2.66049
49	9.01516	33.0432
50	6.09994	25.315
51	23.4651	6.53631
52	8.26967	27.4574
53	23.6546	3.99683
54	32.3252	4.77375
55	10.7349	3.53999
56	35.6462	36.3047
57	16.7352	9.41664
58	4.21572	38.12
59	39.5688	37.7377
60	15.4691	0.325168
61	39.4922	25.3248
62	2.80987	29.3382
63	20.3307	31.3939
64	31.9987	29.3458
65	24.4371	38.0986
66	14.6608	7.90216
67	4.63494	22.9305
68	35.3595	28.2896
69	26.9273	27.6848
70	33.0633	37.6622
71	31.2247	28.7095
72	33.967	7.95999
73	38.1262	38.1827
74	6.08001	37.695
75	35.9204	21.5491
76	38.0202	35.4126
77	6.87392	0.83005
78	24.7508	27.2046
79	32.2239	16.7495
80	16.5504	16.661
81	14.8481	31.2112
82	24.5632	19.4831
83	14.1417	19.9227
84	7.77266	1.06905
85	7.60746	0.835989
86	38.7313	38.8322
87	29.5455	32.6983
88	6.79219	27.6717
89	30.8809	12.8722
90	25.3667	26.8013
91	34.4213	23.3869
92	22.2139	1.2952
93	24.217	6.96472
94	28.4998	16.4409
95	23.7142	5.05017
96	33.1019	38.5624
97	36.2614	17.6651
98	18.0454	10.4031
99	37.5878	25.8181
100	11.4722	5.19531
